zipcode;sido;gugun;dong
135-806;서울;강남구;개포1동
135-800;서울;강남구;개포2동
135-773;서울;강남구;개포4동
135-543;서울;강남구;개포동
135-726;서울;강남구;논현1동
135-727;서울;강남구;논현2동
135-010;서울;강남구;논현동
135-828;서울;강남구;대치1동
135-708;서울;강남구;대치2동
135-737;서울;강남구;대치4동
135-280;서울;강남구;대치동
135-720;서울;강남구;도곡1동
135-854;서울;강남구;도곡2동
135-270;서울;강남구;도곡동
135-526;서울;강남구;삼성1동
135-705;서울;강남구;삼성2동
135-090;서울;강남구;삼성동
135-190;서울;강남구;세곡동
135-520;서울;강남구;수서동
135-722;서울;강남구;신사동
135-902;서울;강남구;압구정동
135-985;서울;강남구;역삼1동
135-795;서울;강남구;역삼2동
135-080;서울;강남구;역삼동
135-210;서울;강남구;율현동
135-938;서울;강남구;일원1동
135-944;서울;강남구;일원2동
135-947;서울;강남구;일원본동
135-967;서울;강남구;일원동
135-200;서울;강남구;자곡동
135-766;서울;강남구;청담동
134-740;서울;강동구;강일동
134-753;서울;강동구;고덕1동
134-757;서울;강동구;고덕2동
134-080;서울;강동구;고덕동
134-770;서울;강동구;길동
134-771;서울;강동구;둔촌1동
134-767;서울;강동구;둔촌2동
134-060;서울;강동구;둔촌동
134-780;서울;강동구;명일1동
134-786;서울;강동구;명일2동
134-070;서울;강동구;명일동
134-727;서울;강동구;상일동
134-700;서울;강동구;성내1동
134-840;서울;강동구;성내2동
134-843;서울;강동구;성내3동
134-030;서울;강동구;성내동
134-799;서울;강동구;암사1동
134-702;서울;강동구;암사2동
134-715;서울;강동구;암사3동
134-050;서울;강동구;암사동
134-775;서울;강동구;천호1동
134-783;서울;강동구;천호2동
134-722;서울;강동구;천호3동
134-020;서울;강동구;천호동
142-723;서울;강북구;미아동
142-703;서울;강북구;번1동
142-707;서울;강북구;번2동
142-706;서울;강북구;번3동
142-060;서울;강북구;번동
142-777;서울;강북구;삼각산동
142-776;서울;강북구;삼양동
142-751;서울;강북구;송중동
142-702;서울;강북구;송천동
142-773;서울;강북구;수유1동
142-771;서울;강북구;수유2동
142-701;서울;강북구;수유3동
142-070;서울;강북구;수유동
142-793;서울;강북구;우이동
142-781;서울;강북구;인수동
157-742;서울;강서구;가양1동
157-743;서울;강서구;가양2동
157-746;서울;강서구;가양3동
157-200;서울;강서구;가양동
157-230;서울;강서구;개화동
157-712;서울;강서구;공항동
157-711;서울;강서구;과해동
157-700;서울;강서구;내발산동
157-729;서울;강서구;등촌1동
157-716;서울;강서구;등촌2동
157-730;서울;강서구;등촌3동
157-030;서울;강서구;등촌동
157-210;서울;강서구;마곡동
157-735;서울;강서구;방화1동
